,abstract,country,journal,pmid,pubdate,title,psyc
0,"As part of the single technology appraisal (STA) process, the National Institute for Health and Care Excellence (NICE) invited Janssen to submit evidence on the clinical and cost effectiveness of their drug ustekinumab, an interleukin-12/23 inhibitor, for treating moderate-to-severe active Crohn's disease (CD). The Centre for Reviews and Dissemination (CRD) and Centre for Health Economics (CHE) Technology Appraisal Group at the University of York was commissioned to act as the independent Evidence Review Group (ERG). This article provides a description of the Company's submission, the ERG's critical review of submitted evidence, and the resulting NICE guidance. The main supporting clinical evidence was derived from four well conducted, randomised controlled trials, comparing ustekinumab with placebo in two sub-populations (conventional care failure and anti-TNFÎ± failure patients) of adults with moderate-to-severe CD. Three trials assessed treatment induction over 8Â weeks, while the fourth recruited successfully induced patients into a maintenance trial for 1Â year. These trials showed ustekinumab to be more effective than placebo in terms of its ability to induce and maintain clinical response and remission. In the absence of any direct head-to-head data, the Company conducted a network meta-analysis (NMA), which synthesised induction trial data on ustekinumab and relevant comparators (vedolizumab, adalimumab and infliximab) using placebo data as a common comparator. This analysis found ustekinumab to be of comparable efficacy to previously approved biologics in treatment induction. A 'treatment sequence analysis' compared long-term treatment efficacy, finding ustekinumab to be comparable in maintaining treatment response and remission to the three other biologic therapies. However, the ERG had identified many limitations and potential bias in this analysis, and urged caution when interpreting the results. The Company's economic model estimated ustekinumab to be dominant in both sub-populations compared with conventional care; however, the ERG's preferred base-case estimated an incremental cost-effectiveness ratio of Â£109,279 in the conventional care failure sub-population, and Â£110,967 in the anti-TNFÎ± failure sub-population when compared with conventional care. However, the ERG identified significant failings in both the model structure and data inputs, which could not be addressed without complete restructuring. The ERG considered that the economic analysis presented by the Company failed to adequately address the decision problem specified in NICE's scope. The NICE Appraisal Committee recommended ustekinumab within its market authorisation, on the grounds of sufficiently similar efficacy and costs to previously recommended biologic therapies. However, the ERG's analyses demonstrated that all currently recommended biologics are unlikely to be cost effective relative to conventional care, raising broader questions regarding the appropriateness of cost-comparison exercises for decision making.",New Zealand,PharmacoEconomics,29192397,2017,Ustekinumab for Treating Moderately to Severely Active Crohn's Disease after Prior Therapy: An Evidence Review Group Perspective of a NICE Single Technology Appraisal.,n
1,"Although the effects of periphyton on water quality and its relationship with flow conditions have been studied by researchers, our understanding about their combined action in eutrophic shallow lakes is poor. In this research, four aquatic model ecosystems with different water circulation rates and hydraulic conditions were constructed to investigate the effect of periphyton and flow condition on water quality. The concentrations of NH4+, TP, and chlorophyll-a and flow conditions were determined. The results show that, as a result of the rising nutrient level at the early stage and the decline in the lower limit, the presence of periphyton can make the ecosystem adaptable to a wider range of nutrients concentration. In terms of the flow condition, the circulation rate and hydraulic condition are influential factors for aquatic ecosystem. Higher circulation rate in the ecosystem, on one hand, facilitates the metabolism by accelerating nutrient cycling which is beneficial to water quality; on the other hand, high circulation rate leads to the nutrient lower limit rising which is harmful to water quality improvement. At low velocities, slight differences in hydraulic conditions, vertical velocity gradient and turbulence intensity gradient could affect the quantity of phytoplankton. Our study suggests that, considering environmental effect of periphyton, flow conditions and their combined action is essential for water quality improvement and ecological restoration in eutrophic shallow lakes.",Germany,Environmental science and pollution research international,29192398,2017,Water quality in simulated eutrophic shallow lakes in the presence of periphyton under different flow conditions.,n
2,"According to literature data, some of the main factors which significantly affect the quality of the indoor environment in residential households or apartments are human activities such as cooking, smoking, cleaning, and indoor exercising. The paper presents a literature overview related to air quality in everyday use spaces dedicated to specific purposes which are integral parts of residential buildings, such as kitchens, basements, and individual garages. Some aspects of air quality in large-scale car parks, as a specific type of indoor environment, are also discussed. All those areas are characterized by relatively short time use. On the other hand, high and very high concentration levels of xenobiotics can be observed, resulting in higher exposure risk. The main compounds or group of chemical compounds are presented and discussed. The main factors influencing the type and amount of chemical pollutants present in the air of such areas are indicated.",Germany,Environmental science and pollution research international,29192399,2017,Indoor air quality of everyday use spaces dedicated to specific purposes-a review.,n
3,"Mercury concentrations in the environment tend to decrease in recent years due to environmental restrictions. Lakes store mercury in their sediments, making them potential secondary contamination sources. In South America, the occurrence of mercury in lake systems has been associated mainly with volcanic emissions and only few records anthropogenic contamination in the pre-Hispanic period. The objective of this research was to study historical anthropogenic mercury concentration in two lakes in Central Chile (La SeÃ±oraza and Pillo), in order to establish background mercury levels and their variations from preindustrial to modern periods. Different background levels and mercury concentrations were found in each lake, with significantly higher concentrations in Lake La SeÃ±oraza during the last 150Â years. Mining-related activities during the nineteenth century could have a negligible influence on mercury concentrations. Later on, the use of coal railroads and subsequent employment of mercury in the cellulose industry were associated with three- and fourfold increases in mercury concentration over the nineteenth century background levels, which decrease once these activities ceased. However, in the case of Lake Pillo, an important increase in mercury concentration can be observed between 1990 and the early twenty-first century, which could be related to a higher watershed/lake area ratio, extensive agriculture, and volcanic emission, being the latter that could have contributed with mercury to both systems. Nevertheless, sedimentological characteristics in Lake Pillo can be favorable to retain mercury in this aquatic system up to the present day.",Germany,Environmental science and pollution research international,29192400,2017,Historical anthropogenic mercury in two lakes of Central Chile: comparison between an urban and rural lake.,n
4,"The occurrence, partitioning, and spatio-temporal distribution of seven pharmaceuticals for human use, three steroid hormones and one personal care product were determined in surface water, suspended particulate matter (SPM), and sediment of PiraÃ­ Creek and JundiaÃ­ River (JundiaÃ­ River Basin, SÃ£o Paulo, Brazil). The maximum average detected concentrations of the compounds in the PiraÃ­ River samples were <â€‰30Â ngÂ L-1, except for caffeine (222Â ngÂ L-1). In JundiaÃ­ River samples, most of the compounds were frequently detected, wherein caffeine had the highest concentration, with maximum average concentrations of 14,050Â ngÂ L-1, followed by atenolol (431Â ngÂ L-1), ibuprofen (268Â ngÂ L-1) and diclofenac (214Â ngÂ L-1). Atenolol, propranolol, estrone, and triclosan were the contaminants most frequently detected in sediment and SPM samples. Triclosan had the highest average proportion of SPM as opposed to in the aqueous phase (>â€‰75%). Contaminants with acid functional groups showed, in general, a lower tendency to bind to particulate matter and sediments. In addition, hydrophobicity had an important effect on their environmental partitioning. The spatial distribution of contaminants along the JundiaÃ­ River was mainly affected by the higher concentration of contaminants in water samples collected downstream from a sewage treatment plant (STP). The results obtained here clearly showed the importance of the analysis of some contaminants in the whole water, meaning both dissolved and particulate compartments in the water, and that the partitioning is ruled by a set of parameters associated to the physicochemical characteristics of contaminants and the matrix properties of the studied, which need be considered in an integrated approach to understand the fate of emerging chemical contaminants in aquatic environments.",Germany,Environmental science and pollution research international,29192401,2017,Spatio-temporal evaluation of emerging contaminants and their partitioning along a Brazilian watershed.,n
5,"In the present experimental analysis, two non-edible oils namely neem oil and pumpkin seed oil were considered. They are converted into respective biodiesels namely neem oil methyl ester (B1) and pumpkin seed oil methyl ester (B2) through transesterification process and their physical and chemical properties were examined using ASTM standards. Diesel was used as a baseline fuel in Kirloskar TV1 model direct injection four stroke diesel engine. A fuel preheater was designed and fabricated to operate at various temperatures (60, 70, and 80Â Â°C). Diesel showed higher brake thermal efficiency (BTE) than biodiesel samples. Lower brake specific fuel consumption (BSFC) was obtained with diesel than B1 sample. B1 exhibited lower BSFC than B2 sample without preheating process. High preheating temperature (80Â Â°C) results in lower fuel consumption for B1 sample. The engine emission characteristics like carbon monoxide (CO), hydrocarbon (HC), and smoke were found lower with B1 sample than diesel and B2 except oxides of nitrogen (NOx) emission. In preheating of fuel, B1 sample with high preheating temperature showed lower CO, HC, and smoke emission (except NOx) than B2 sample.",Germany,Environmental science and pollution research international,29192402,2017,Comparative studies on the performance and emissions of a direct injection diesel engine fueled with neem oil and pumpkin seed oil biodiesel with and without fuel preheater.,n
6,"Sulfaquinoxaline (SQX) is an antimicrobial of the sulfonamide class, frequently detected at low levels in drinking and surface water as organic micropollutant. The main goal of the present study is the evaluation of SQX reactivity during chlorination and UV irradiations which are two processes mainly used in water treatment plants. The SQX transformation by chlorination and UV lights (254Â nm) was investigated in purified water at common conditions used for water disinfection (pH =â€‰7.2, temperature =â€‰25Â Â°C, [chlorine] =â€‰3Â mgÂ L-1). The result shows a slow degradation of SQX during photolysis compared with chlorination process. Kinetic studies that fitted a fluence-based first-order kinetic model were used to determine the kinetic constants of SQX degradation; they were equal to 0.7â€‰Ã—â€‰10-4 and 0.7â€‰Ã—â€‰10-2Â s-1corresponding to the half time lives of 162 and 1.64Â min during photolysis and chlorination, respectively. In the second step, seven by-products were generated during a chlorination and photo-transformation of SQX and identified using liquid chromatography with electrospray ionization and tandem mass spectrometry (MS-MS). SO2 extrusion and direct decomposition were the common degradation pathway during photolysis and chlorination. Hydroxylation and isomerization were observed during photodegradation only while electrophilic substitution was observed during chlorination process.",Germany,Environmental science and pollution research international,29192403,2017,Transformation of sulfaquinoxaline by chlorine and UV light in water: kinetics and by-product identification.,n
7,"The sorption of both classic and emerging organic contaminants onto aquatic solids is a critical process that controls their fate in natural waters. Sorption is affected by numerous factors, including coexisting heavy metals. The mechanisms of the influence of heavy metals, especially those occurring in acid radical anions, are still unclear. Here, the effects of Pb, Cd, Cr, and As on the sorption of lindane and norfloxacin (NOR) onto natural biofilms, suspended particles, and sediments from one river were investigated following batch equilibration methods. In addition, changes in representative components that have important roles in sorption from these solids in the presence and absence of metals were characterized by spectrum analyses. The results indicated that sorption of lindane and NOR on the three solids in the absence of heavy metals was highly linear and nonlinear, respectively. Pb and Cd promoted and Cr and As suppressed hydrophobic lindane sorption on the three solids. This was because Pb and Cd enhanced but Cr and As weakened the hydrophobicity of these solids. Pb, Cd, Cr, and As decreased NOR sorption on sediments and suspended particles at pHÂ 5.7~6.3. This was due to electrostatic competition between cationic Pb/Cd and NORH2+, and the combination of Cr/As acid radicals with NORH2+, which suppressed its ion-exchange adsorption. Pb, Cd, Cr, and As generally increased the sorption of NOR onto the biofilms at pHÂ 5.7~6.3. Pb and Cd strengthened the flocculation of dissolved organic matter combined with NORH2+ onto the biofilms. Cr and As enhanced the hydrophilicity of biofilms, and then increased their sorption of NOR with active hydrophilic groups. The mechanisms of how different heavy metals affect NOR sorption by biofilms were more complicated than the mechanisms affecting lindane sorption, as well as by sediments and particles.",Germany,Environmental science and pollution research international,29192404,2017,"Effects of lead, cadmium, chromium, and arsenic on the sorption of lindane and norfloxacin by river biofilms, particles, and sediments.",n
8,"The formulation factors relevant to developing immediate and controlled release dosage forms containing poorly soluble drugs dispersed in amorphous systems are poorly understood. While the utility of amorphous solid dispersions is becoming apparent in the pharmaceutical marketplace, literature reports tend to concentrate on the development of solid dispersion particulates, which then must be formulated into a tablet. Amorphous solid dispersions of itraconazole in high molecular weight hydroxypropyl methylcellulose were prepared by KinetiSolÂ® Dispersing and tablets were formulated to immediately disintegrate or control the release of itraconazole. Formulated tablets were evaluated by two non-sink dissolution methodologies and the dosage form properties that controlled the gelling tendency of the dispersion carrier, hydroxypropyl methylcellulose, were investigated. Selected formulations were evaluated in an exploratory beagle dog pharmacokinetic study; the results of which indicate potential for a prolonged absorption phase relative to the commercially extruded control.",United States,AAPS PharmSciTech,29192405,2017,Development of Itraconazole Tablets Containing Viscous KinetiSolÂ® Solid Dispersions: In Vitro and In Vivo Analysis in Dogs.,n
10,"Adipose-derived mesenchymal stem cells (ADSCs) are useful cell model to study adipogenesis and energy metabolism. However, the biological characteristics of bovine ADSCs (bADSCs) remain unclear. This study aimed to isolate and identify bADSCs and further investigate fatty acid (FA)-related gene expression and composition of FAs during adipogenesis. The growth curve showed the bADSCs of P5 cells had rapid proliferation superior to P10-P50. The colony formation assay showed colony number of P5 cells was higher than that of P50 cells (51.67Â Â±Â 3.06 vs 35.67Â Â±Â 6.43, PÂ <Â 0.05). The immunofluorescence showed that bADSCs were positive for CD13, CD44, CD49d, CD90, CD105, and Vimentin while negative for CD34. The multipotential towards adipocyte, osteocyte, and chondrocyte was confirmed by specific histological staining and lineage gene expression. During adipogenic induction, the genes related to lipogenesis and lipolysis were assessed by real-time PCR and the FA composition was detected by GC-MS. Expression of lipogenesis-related genes showed coordinated regulation as peaking on day 7 and declining until induction ended, including PPARÎ³, SREBP1, ACC1, FAS, ELOVL6, SCD1, and FABP4. FA deposition-related genes (DGAT1 and ACAT1) increased until day 14. Lipolysis genes (CPT-1A, VLCAD, and ACO) showed a variant expression pattern. The profile of FAs showed that proportion of the FAs (C4-C15, â‰¥Â C22) increased, but proportion of long-chain fatty acids (C16-C20) reduced after induction. And saturated FAs (SFA) decreased while monounsaturated FAs (MUFA) and polyunsaturated FAs (PUFA) increased during adipogenesis. These data suggest that bADSCs possess the characteristics of mesenchymal stem cells and have active de novo lipogenesis (DNL) and desaturation of FAs during adipogenesis.",Germany,In vitro cellular & developmental biology. Animal,29192407,2017,De novo lipogenesis and desaturation of fatty acids during adipogenesis in bovine adipose-derived mesenchymal stem cells.,n
