,abstract,pmid,pubdate,title
3,"Classical cadherin adhesion molecules are key determinants of cell recognition and tissue morphogenesis, with diverse effects on cell behavior. Recent developments indicate that classical cadherins are adhesion-activated signaling receptors. In particular, early-immediate Rac signaling is emerging as a mechanism to coordinate cadherin-actin integration at the plasma membrane.",12507993,2003,Direct cadherin-activated cell signaling: a view from the plasma membrane.
66,"Specific integrins expressed on oligodendrocytes, the myelin-forming cells of the central nervous system, promote either differentiation and survival or proliferation by amplification of growth factor signaling. Here, we report that the Src family kinases (SFKs) Fyn and Lyn regulate each of these distinct integrin-driven behaviors. Fyn associates with alpha6beta1 and is required to amplify platelet-derived growth factor survival signaling, to promote myelin membrane formation, and to switch neuregulin signaling from a phosphatidylinositol 3-kinase to a mitogen-activated protein kinase pathway (thereby changing the response from proliferation to differentiation). However, earlier in the lineage Lyn, not Fyn, is required to drive alphaVbeta3-dependent progenitor proliferation. The two SFKs respond to integrin ligation by different mechanisms: Lyn, by increased autophosphorylation of a catalytic tyrosine; and Fyn, by reduced Csk phosphorylation of the inhibitory COOH-terminal tyrosine. These findings illustrate how different SFKs can act as effectors for specific cell responses during development within a single cell lineage, and, furthermore, provide a molecular mechanism to explain similar region-specific hypomyelination in laminin- and Fyn-deficient mice.",15504915,2004,Integrins direct Src family kinases to regulate distinct phases of oligodendrocyte development.
135,"CONTEXT
The Chronic Care Model (CCM) has been developed to improve the quality of medical care delivered by general practitioners to patients with multiple chronic conditions. Despite an increasing use of this model, it remains unclear to what extent the different recommendations are valued by the patients.


OBJECTIVE
This study aims to identify the preferences of patients with multiple chronic conditions for recommendations of the Chronic Care Model.


METHODS
The patients' preferences were identified with a discrete choice experiment. The hypothetical general practice cares were described using 10 recommendations of the Chronic Care Model (i.e. shared decision making; informational continuity (INF); regular follow-up; planned care; communication; collaboration with a nurse; advices on health habits; patient empowerment; psychological support; coordination). Respondents were consecutively recruited in a hospital setting during routine follow-up visits to their pulmonary specialist. The sample of respondents included 150 patients with multiple chronic conditions in addition to an obstructive sleep apnoea syndrome.


RESULTS
The INF is highly valued by the patients. At the opposite, patients do not appear to value collaboration between nurses and GPs. To a large extent, the patients' preferences for the recommendations of the CCM depend on their gender, number of chronic conditions and self-perceived health condition.


DISCUSSION
The INF appeared to be a minimal requirement to ensure high-quality general practice care. The significant interactions between the patients' socio-demographic characteristics and their preferences for the CCM highlighted the necessity to deliver personalized services.",24948135,2015,What are the patients' preferences for the Chronic Care Model? An application to the obstructive sleep apnoea syndrome.
148,"OBJECTIVE
To synthesise the views of patients on patient-held records (PHR) and to determine from a patient's perspective the effectiveness and any benefits or drawbacks to the PHR.


DESIGN
Systematic review and thematic synthesis of qualitative studies, which investigate the perspective of patients on the effectiveness of the PHR.


DATA SOURCES
Medline, CINAHL, PsychINFO, PubMed, Cochrane.


REVIEW METHODS
Systematic review of literature relevant to the research question and thematic synthesis involving line by line coding of the quotations from participants and the interpretations of the findings offered by authors.


RESULTS
Ten papers that reported the experiences of 455 patients were included in the thematic synthesis. Five studies focused on cancer care, two on mental health, one on antenatal care, one on chronic disease and one on learning disability. The completeness of reporting was variable. Three main themes were identified: (i) practical benefits of the PHR (having a record of one's condition, an aide memoire, useful information source and tool for sharing information across the health system); (ii) psychological benefits of the PHR (empowered to ask questions, a place to record thoughts and feelings and feeling in control); and (iii) drawbacks to the PHR (PHR imposes unwanted responsibility and ineffectiveness).


CONCLUSIONS
The effectiveness of the PHR is largely dependent upon uptake across the health system from patients and health-care providers alike. Robust qualitative studies are needed, which offer more complete reporting and examine what patients want and need from a PHR.",25059439,2015,Patients' views on the effectiveness of patient-held records: a systematic review and thematic synthesis of qualitative studies.
175,"BACKGROUND
Internet discussion forums provide new, albeit less used data sources for exploring personal experiences of illness and treatment strategies.


OBJECTIVE
To gain an understanding of how discussion forum participants value nicotine replacement therapy (NRT) in smoking cessation (SC).


SETTING
Finnish national Internet-based discussion forum, STUMPPI, supporting SC and consisting of ten free discussion areas, each with a different focus. The analysis was based on STUMPPI forum participants' postings (n = 24 481) in five discussion areas during January 2007-January 2012.


DESIGN
Inductive content analysis of the postings concerning NRT use or comparing NRT to other SC methods.


RESULTS
Three major themes related to NRT in SC emerged from the discussions. These were as follows: (I) distrust and negative attitude towards NRT; (II) neutral acceptance of NRT as a useful SC method; and (III) trust on the crucial role of NRT and other SC medicines. The negative attitude was related to following perceptions: NRT use maintains tobacco dependence, fear of NRT dependence or experience of not gaining help from NRT use. NRT was perceived to be useful particularly in the initiation of SC attempts and in dealing with physiological dependence. The most highlighted factors of successful quitting were quitters' own psychological empowerment and peer support from the discussion community.


CONCLUSIONS
The majority of STUMPPI forum participants had low or balanced expectations towards the role of NRT in SC. More research from the smokers' and quitters' perspective is needed to assess the real value of NRT compared to other methods in SC.",25292017,2015,Is nicotine replacement therapy overvalued in smoking cessation? Analysis of smokers' and quitters' communication in social media.
213,"OBJECTIVE
Fibromyalgia is characterized by chronic widespread pain and various associated symptoms, including psychological distress. This study presents a secondary analysis of the interviews of patients with fibromyalgia to appraise the affective load of the patient narratives as assessed by independent clinicians.


SETTING AND PARTICIPANTS
Three clinicians, an internist, a psychiatrist and a psychologist, who were experienced in chronic pain reviewed the interview transcripts of 56 women eliciting their views regarding fibromyalgia onset. A Clinical Global Impression (CGI) scale was used (0 = no affective load to 5 = maximum affective load) to provide a subjective appraisal of the intensity of the affective impact, as suggested in the transcripts and from the clinician perspectives.


RESULTS
The mean affective load was 3.6 (SD = ±1), indicating the perception of a high affective load in the clinicians. Values indicating a high or very high affective load (≥4 points on the CGI scale) were more frequent than those in the lower range [23 narratives (41%) vs. 3 (5%)]. The inter-rater agreement of the affective load of the narratives was high (K > 0.85). These results of the clinician perspectives parallel those of the patient narratives, emphasizing disruptive circumstances, psychological distress and hopelessness surrounding symptom onset.


CONCLUSION
The affective load in the narratives of these patients with fibromyalgia was high and had a negative undertone when considered from the clinicians' perspective. This study highlights the importance of considering the affective resonance in the context of therapeutic relationships that are often emotionally laden and highly challenging for the clinician.",25494577,2015,Assessing the affective load in the narratives of women suffering from fibromyalgia: the clinicians' appraisal.
223,"The present study examined the efficacy of Conjoint Behavioral Consultation (CBC) for children with Autism Spectrum Disorder (ASD) in early elementary school. In addition, the parent-teacher relationship, parent and teacher competence in problem solving, and CBC acceptability were examined. Participants included 3 children with ASD in early elementary school, and their parents and teachers. Findings suggested (a) CBC was efficacious for treating children's social behavior in classrooms, (b) 2 of 3 parent-teacher dyads reported improvements in the parent-teacher relationship, (c) all parents and teacher reported increases in their problem-solving competences, and (d) CBC was highly acceptable to parents and teachers. Implications for CBC research and interventions for children with ASD are discussed. (PsycINFO Database Record",25688808,2016,Conjoint Behavioral Consultation for children with Autism Spectrum Disorder.
225,"OBJECTIVE
To explore ongoing symptoms, unmet needs, psychological wellbeing, self-efficacy and overall health status in survivors of prostate cancer.


PATIENTS AND METHODS
An invitation to participate in a postal questionnaire survey was sent to 546 men, diagnosed with prostate cancer 9-24 months previously at two UK cancer centres. The study group comprised men who had been subject to a range of treatments: surgery, radiotherapy, hormone therapy and active surveillance. The questionnaire included measures of prostate-related quality of life (Expanded Prostate cancer Index Composite 26-item version, EPIC-26); unmet needs (Supportive Care Needs Survey 34-item version, SCNS-SF34); anxiety and depression (Hospital Anxiety and Depression Scale, HADS), self-efficacy (modified Self-efficacy Scale), health status (EuroQol 5D, EQ-5D) and satisfaction with care (questions developed for this study). A single reminder was sent to non-responders after 3 weeks. Data were analysed by age, co-morbidities, and treatment group.


RESULTS
In all, 316 men completed questionnaires (64.1% response rate). Overall satisfaction with follow-up care was high, but was lower for psychosocial than physical aspects of care. Urinary, bowel, and sexual functioning was reported as a moderate/big problem in the last month for 15.2% (n = 48), 5.1% (n = 16), and 36.5% (n = 105) men, respectively. The most commonly reported moderate/high unmet needs related to changes in sexual feelings/relationships, managing fear of recurrence/uncertainty, and concerns about the worries of significant others. It was found that 17% of men (51/307) reported potentially moderate-to-severe levels of anxiety and 10.2% (32/308) reported moderate-to-severe levels of depression. The presence of problematic side-effects was associated with higher psychological morbidity, poorer self-efficacy, greater unmet needs, and poorer overall health status.


CONCLUSION
While some men report relatively few problems after prostate cancer treatment, this study highlights important physical and psycho-social issues for a significant minority of survivors of prostate cancer. Strategies for identifying those men with on-going problems, alongside new interventions and models of care, tailored to individual needs, are needed to improve quality of life.",25818406,2016,"Symptoms, unmet needs, psychological well-being and health status in survivors of prostate cancer: implications for redesigning follow-up."
254,"The purpose of this study was to document within-year fidelity growth during installation and initial implementation of School-Wide Positive Behavioral Interventions and Supports (SWPBIS). Participants included school teams from schools throughout the United States that were in years 1 to 4 of SWPBIS implementation and routinely evaluated their implementation fidelity. The fidelity outcome was assessed with the Team Implementation Checklist (TIC) and was completed multiple times per year by SWPBIS teams. Results from multilevel fidelity growth models documented within- and between-school variability and growth predictors. Years implementing, location, school type, and enrollment size were significant predictors of beginning-year fidelity scores (intercept), and years implementing and relative socioeconomic status were significant predictors of the average rate of fidelity change per month of school (slope). These results add to the growing field of implementation science, and practice recommendations are outlined. (PsycINFO Database Record",26371701,2016,Within-year fidelity growth of SWPBIS during installation and initial implementation.
286,"The purpose of this investigation was to evaluate the reliability of Direct Behavior Ratings-Social Competence (DBR-SC) ratings. Participants included 60 students identified as possessing deficits in social competence, as well as their 23 classroom teachers. Teachers used DBR-SC to complete ratings of 5 student behaviors within the general education setting on a daily basis across approximately 5 months. During this time, each student was assigned to 1 of 2 intervention conditions, including the Social Competence Intervention-Adolescent (SCI-A) and a business-as-usual (BAU) intervention. Ratings were collected across 3 intervention phases, including pre-, mid-, and postintervention. Results suggested DBR-SC ratings were highly consistent across time within each student, with reliability coefficients predominantly falling in the .80 and .90 ranges. Findings further indicated such levels of reliability could be achieved with only a small number of ratings, with estimates varying between 2 and 10 data points. Group comparison analyses further suggested the reliability of DBR-SC ratings increased over time, such that student behavior became more consistent throughout the intervention period. Furthermore, analyses revealed that for 2 of the 5 DBR-SC behavior targets, the increase in reliability over time was moderated by intervention grouping, with students receiving SCI-A demonstrating greater increases in reliability relative to those in the BAU group. Limitations of the investigation as well as directions for future research are discussed herein. (PsycINFO Database Record",26524424,2016,Reliability of Direct Behavior Ratings - Social Competence (DBR-SC) data: How many ratings are necessary?
