influence.1.1		influence.1.2		influence.1.3		influence.1.4		influence.1.5		influence.1.6		influence.2.1		influence.2.2		influence.2.3		influence.2.4		influence.2.5		influence.2.6		influence.3.1		influence.3.2		influence.3.3		influence.3.4		influence.3.5		influence.3.6		influence.4.1		influence.4.2		influence.4.3		influence.4.4		influence.4.5		influence.4.6		influence.5.1		influence.5.2		influence.5.3		influence.5.4		influence.5.5		influence.5.6		influence.6.1		influence.6.2		influence.6.3		influence.6.4		influence.6.5		influence.6.6		
0.000000000000000000e+00 7.079874488938367350e+00 9.860832189283261329e+00 1.152545518036285788e-04 4.582379798642030266e+00 5.729258126495221148e+00 1.474257852732054249e-05 0.000000000000000000e+00 9.614324145379127273e+00 5.942874589565828813e+00 8.171868533160573517e-03 1.246430212556437489e+00 5.199352530686852719e-04 1.713238259418844445e+00 0.000000000000000000e+00 3.906058267139498330e+00 3.307079917018815873e+00 4.158230962017701892e-04 1.342114295982042998e-05 3.931520692861229496e-07 5.158520284098170076e-10 0.000000000000000000e+00 5.847648560988081938e-03 2.929362831262611785e-06 5.935910273061535847e+00 1.246521067616474313e-02 1.322294579065091957e-01 1.653942235004150774e-01 0.000000000000000000e+00 1.815263219763765899e-03 8.346147276796735071e+00 4.311608131654218190e-02 8.062570707563438321e-17 4.151993633878563017e+00 2.597726459564189683e-02 0.000000000000000000e+00
0.000000000000000000e+00 7.136207718373126063e+00 7.962408404645848314e+00 8.992586644354369019e-04 5.444146923774905389e+00 3.401437860432001692e+00 2.097998576420379561e-05 0.000000000000000000e+00 2.608798236457881004e+00 9.699551598821159359e+00 4.693179019481449020e-03 8.092266421683425026e-01 6.049653766088452980e-04 3.079345076428976480e+00 0.000000000000000000e+00 1.892810597027724251e+00 8.697179063681312883e+00 7.336728778430663504e-04 1.773193672473733141e-05 3.521825808873959825e-07 8.285517485968238077e-09 0.000000000000000000e+00 3.640828887636252294e-03 3.424193117338001393e-06 7.486230520737118255e+00 7.243025562011536425e-03 4.219414615738421026e-01 7.038030679795666267e-02 0.000000000000000000e+00 3.047557897279256104e-04 9.510318850129625190e+00 6.953437841219357873e-03 3.498199410933548728e-17 3.255328582228667056e+00 2.610406021828193604e-02 0.000000000000000000e+00
0.000000000000000000e+00 7.208098380780976200e+00 9.268879801720993683e+00 5.595471428960992893e-02 4.269484287261458455e+00 2.148202226241394897e+00 4.823972136790227142e-05 0.000000000000000000e+00 3.047992309233658048e+00 7.900590581502946463e+00 2.311652510406878372e-02 2.520767780292192839e+00 4.653978700855732412e-04 2.534069165715713279e+00 0.000000000000000000e+00 8.447687779419398524e+00 7.804968361422184309e+00 1.361088552409757142e-04 2.057197296479740053e-05 5.890500996439748495e-08 5.255002278502015587e-09 0.000000000000000000e+00 5.702699056235711710e-03 2.687297276625090781e-06 2.193185766982774787e-01 7.751010462141980951e-03 5.375613191183425954e-01 4.531536428227543600e-02 0.000000000000000000e+00 7.850934076498333226e-04 8.887027162238656075e+00 2.522039084781218729e-02 2.848634020632925804e-17 7.758018402628080068e+00 2.487005619946853693e-02 0.000000000000000000e+00
0.000000000000000000e+00 8.382623907025239518e+00 7.244813591036819211e+00 1.876957563594375822e-01 5.693481208408710970e+00 5.562389535893204062e+00 3.876549682915083744e-05 0.000000000000000000e+00 4.919619211770318579e+00 8.230159624633316184e+00 3.381353130594414585e-02 9.768168253086779274e+00 1.176968515208454727e-04 5.733204638043089219e+00 0.000000000000000000e+00 7.006802315452738128e+00 5.977397989161598701e+00 2.541729549500450908e-02 8.836828110409478620e-05 4.065902619819269513e-08 1.287467778141819752e-09 0.000000000000000000e+00 1.786526541115597945e-03 1.176295986887415449e-05 5.696973226279872016e+00 7.873254780604594522e-03 1.980330446067450012e+00 3.196452076702263612e-02 0.000000000000000000e+00 8.243148899711238509e-04 9.836290895954189040e+00 2.113793246438595841e-02 5.772620977367701732e-18 9.504328554620155245e+00 3.343356096803445227e-02 0.000000000000000000e+00
0.000000000000000000e+00 9.089643032252904931e+00 2.658023582223107084e+00 8.766248019968812810e-02 3.054242696694529968e+00 1.335270568479783870e+00 4.452617777684131687e-05 0.000000000000000000e+00 4.116367443415526850e+00 1.871875353288288135e+00 1.207729749654933432e-01 2.124980598818436484e+00 1.157290517586994803e-03 8.671616697105339000e+00 0.000000000000000000e+00 2.266790577443985377e+00 3.211242486377665628e+00 6.530909300668579116e-03 2.803356128357313112e-05 1.024128287879399617e-07 1.363838972122956436e-09 0.000000000000000000e+00 1.143594559137511412e-03 1.281668362660862517e-04 2.471739509904977705e+00 4.055966076511583244e-04 3.625765950101174084e+00 2.022404948866877300e-02 0.000000000000000000e+00 1.151308851910987693e-03 9.564749087633346747e+00 4.779948023768310766e-02 5.264221644865777592e-19 7.744546963425533725e+00 7.022254720358663826e-01 0.000000000000000000e+00
0.000000000000000000e+00 8.606398774477288072e+00 9.873171807230626484e+00 5.213304304693923141e-01 5.018974062650627399e-01 5.724226993859282686e-01 4.118135013001362446e-04 0.000000000000000000e+00 3.948118680408008174e-02 3.579100795210121255e+00 2.606364434020774778e-02 6.447376488297237529e+00 4.068436577310427472e-04 8.808697064680922395e+00 0.000000000000000000e+00 1.846439615077906993e+00 9.640253947006279134e+00 6.684035894805494954e-03 3.729409036577467662e-05 1.231014117485340438e-08 5.649066245761730502e-10 0.000000000000000000e+00 3.679789782479101195e-03 7.881675349565706230e-05 6.616467449163439873e+00 5.110676788568060871e-04 1.140407318639965029e+00 1.920833665893878842e-02 0.000000000000000000e+00 1.234173671779195940e-03 6.994974565928233190e+00 1.560111636449922901e-01 8.553586537075280721e-19 7.608538132343046101e+00 1.262688612155146606e+00 0.000000000000000000e+00
0.000000000000000000e+00 6.829989314225602293e+00 8.042477594951883191e+00 7.481087408505920910e-01 6.120518813339765885e+00 1.083660206981083840e-01 4.364369646551998026e-04 0.000000000000000000e+00 9.224792343092015623e-02 3.663746624157548926e-01 1.032527894078397179e-02 6.711745920118938002e+00 8.644813984944075625e-04 7.443913467962372188e+00 0.000000000000000000e+00 9.836493358576662516e+00 9.607721123940017094e+00 1.718449238502518231e-03 2.920010495080704253e-05 5.045719108591943993e-09 1.201256583849185421e-09 0.000000000000000000e+00 5.352365091917815794e-03 6.175301871164189896e-05 9.285699215821200170e+00 4.015643192563976105e-04 2.101578948504030375e+00 6.515054362541036759e-02 0.000000000000000000e+00 3.547847113221223869e-03 8.915139061572283197e+00 1.397169681440041944e-01 6.965013854412081105e-19 7.971231553180375684e+00 7.602155229900656508e+00 0.000000000000000000e+00
0.000000000000000000e+00 7.645633289926895060e+00 9.505575498162563974e+00 1.486681860859118132e+00 7.263859492067510359e+00 1.402801902826068814e-01 3.635263378636159658e-04 0.000000000000000000e+00 1.115417576594009141e-02 9.383117262751946575e-01 1.793698751962531299e-02 3.410636066586397952e+00 5.819079834630479751e-04 9.855707153958885414e+00 0.000000000000000000e+00 7.479193406675900491e+00 9.291781046416099699e+00 1.840116099876072317e-02 2.494712891787544259e-05 8.899553875366871080e-09 1.274788724701619519e-09 0.000000000000000000e+00 9.677029493320855880e-02 1.244459302072768660e-04 7.691767884762371388e+00 5.695128709437921209e-04 1.472648474477397662e-01 8.390504823778649479e-01 0.000000000000000000e+00 2.503717461165744576e-02 6.035366314111639596e+00 1.100185576742945676e-01 2.139692032079218146e-18 4.696980942186542940e+00 4.797435676539523186e+00 0.000000000000000000e+00
0.000000000000000000e+00 9.574388974768179850e+00 8.332236221471054805e+00 3.723941126242158894e+00 4.180720318753303744e+00 2.053541076979938929e-01 3.539255936355000204e-04 0.000000000000000000e+00 1.555216411113052866e-02 3.747677653021499022e+00 3.552633154842174592e-03 5.969331185320198685e+00 1.596678542567027306e-04 1.711795904509302302e+00 0.000000000000000000e+00 9.117205172601671848e+00 5.148466958507857960e-01 2.369664029430836732e-02 4.879896646262797449e-06 1.005426910966027509e-08 2.251552959717740020e-09 0.000000000000000000e+00 9.648469514404454939e-02 1.758668534568356664e-04 7.805139730272381726e+00 4.117843649039776397e-04 2.687282800956750650e-01 8.678215498731580713e-01 0.000000000000000000e+00 2.342196112440637565e-02 5.839950083464716002e+00 1.255376657191323297e-01 3.412285440337041197e-18 3.840833776266594946e+00 5.104204449572746327e+00 0.000000000000000000e+00
0.000000000000000000e+00 9.762732867197684072e+00 9.416083049074600808e+00 2.142478315339040318e+00 7.567396379227067094e+00 4.294748222967775114e-02 8.580961412732818422e-04 0.000000000000000000e+00 2.858933512533276544e-02 3.002794708479846086e+00 5.106986641178909436e-03 5.804633137200275961e+00 4.891717522470114904e-05 1.330419605684638462e+00 0.000000000000000000e+00 1.282416398061160256e+00 9.304104173618055196e-01 1.605738277939724318e-02 1.302812918646061951e-05 3.391484477500042453e-08 3.126231666014791277e-08 0.000000000000000000e+00 2.533161249611167731e-01 2.335489607227976289e-04 9.742885175463918301e+00 5.138814457892090359e-04 3.736057279291117306e-01 5.853296799595114619e-01 0.000000000000000000e+00 3.276556113764702433e-02 5.974563046709108427e+00 3.811065346924853436e-01 1.874650018776276096e-18 4.661596453894344627e+00 2.643576437206737406e+00 0.000000000000000000e+00
0.000000000000000000e+00 9.269552884830613237e+00 7.641119745397167762e+00 1.979537100765137003e+00 7.580586485319119383e+00 6.720726224830586570e-01 6.374617942977680489e-04 0.000000000000000000e+00 7.663564755182365573e+00 2.820559197642360960e+00 2.206580397132811532e-03 2.564580700835689342e+00 8.827748167726647086e-04 1.044975484136973831e+00 0.000000000000000000e+00 1.804200522565887921e+00 1.508150867942672502e+00 4.447207889043423845e-02 2.015379987772031463e-05 3.767714916625100626e-08 3.721679319739791670e-08 0.000000000000000000e+00 2.576733954494213386e+00 2.418829293265179812e-05 8.939187443562735425e+00 4.925993389631058792e-04 1.359539753083979438e-02 4.304922601574283192e+00 0.000000000000000000e+00 1.135633066868608626e-01 7.677972799072735555e+00 5.870562744991032478e-01 2.693858099400250482e-18 4.899753975480361845e+00 3.243568969603513708e+00 0.000000000000000000e+00
0.000000000000000000e+00 6.267512651886376851e+00 9.890687338823767050e-01 9.518857747732194952e+00 2.463196277297681203e+00 5.365811407431952951e+00 3.264538672329425086e-04 0.000000000000000000e+00 6.534705631758839672e+00 1.683983388763932165e+00 7.928404470089141232e-03 8.822877825676656016e-01 1.642564159506546212e-03 8.470563951243428313e-01 0.000000000000000000e+00 1.926532427224059374e+00 6.492999441715287645e+00 2.912836829146317821e-02 1.318767785922472399e-05 5.259071552193621892e-08 3.521182575125854649e-08 0.000000000000000000e+00 3.423278804753799420e+00 1.874631427776948835e-05 1.795146703627867879e+00 1.886682140925470322e-05 5.353554206517004838e-03 3.434971151400751932e+00 0.000000000000000000e+00 2.142220927328462032e+00 9.919055407887860554e+00 1.530514720062160494e+00 2.020005378219362456e-18 6.591639335221306517e+00 2.479206896483201916e+00 0.000000000000000000e+00
0.000000000000000000e+00 8.515340255453539342e+00 3.920665064447270698e+00 7.958560521145193967e+00 2.104081338077889995e+00 4.612234312172697415e+00 7.892365519730511593e-04 0.000000000000000000e+00 4.396394914568750423e+00 8.102047177014306101e+00 1.578234017661376241e-03 1.017663995575114999e+00 4.678238833170063685e-04 6.421846496713337071e-01 0.000000000000000000e+00 1.167935459898723272e+00 9.965627549944731101e+00 2.938169493242775293e-02 5.657851389028198811e-06 2.532556076605233649e-07 1.909043776308338137e-07 0.000000000000000000e+00 9.560244424619350756e-01 3.754978622690502828e-05 6.398833571632846606e+00 9.730438653927578549e-06 2.501478260480075131e-03 6.340735915795447042e+00 0.000000000000000000e+00 4.980668378504704563e+00 8.008331712672394076e+00 1.201976670738920783e+00 6.802596430134019021e-19 3.905103801049272239e+00 4.441974539509978115e+00 0.000000000000000000e+00
0.000000000000000000e+00 7.318905140361726680e+00 6.795074488452305772e+00 3.212869979182032765e+00 4.884720149408874335e-01 4.250304674714360686e+00 6.372581675496556035e-04 0.000000000000000000e+00 6.149986102884591688e+00 1.987303988962451085e+00 3.060602098720132704e-03 5.947679986804738306e+00 8.843905031890148503e-04 8.569041171315748828e-01 0.000000000000000000e+00 7.825190902390305681e+00 6.859783138834238514e+00 4.207062739116326777e-02 1.003920010899925697e-06 1.046436299720880426e-06 1.862675858020920136e-07 0.000000000000000000e+00 1.207949113994542856e+00 4.185846137947538088e-05 3.386464192250967287e+00 1.137523685975950371e-04 3.225631448872018619e-03 7.267510330692593890e+00 0.000000000000000000e+00 4.365035403244799106e-01 8.255814466245942285e+00 2.407262141819952461e+00 6.477759141736820826e-18 1.785600219772347508e+00 6.608254051089000214e+00 0.000000000000000000e+00
0.000000000000000000e+00 8.007567545638625717e+00 6.266265756537906739e+00 1.656146233107499199e+00 1.236286803482795488e-01 4.774987705664506699e+00 3.718691051439243153e-04 0.000000000000000000e+00 5.045728837853710402e+00 7.109143737033511989e+00 3.052640529428188483e-03 3.888906048173002006e+00 3.259991824653852969e-04 1.256944208758419945e+00 0.000000000000000000e+00 9.378646180336998484e+00 8.836246822035956683e+00 5.818353823345411707e-02 7.310439217803791265e-07 3.466847463883797890e-06 1.318199686832247045e-07 0.000000000000000000e+00 5.168098386988907444e-01 7.600378102333874637e-05 8.820489313064935999e+00 5.076725322019289303e-04 1.219150087613927189e-03 9.057979709197496732e+00 0.000000000000000000e+00 4.158066486239531123e-01 8.432636624337494169e+00 1.159704936143857168e+00 5.136434091889742629e-17 2.516423764658610729e+00 1.542791386058414815e+00 0.000000000000000000e+00
0.000000000000000000e+00 7.329485872038707939e+00 6.262750836710094582e+00 1.814167755058978093e+00 9.774070901801461264e-02 8.739698977367988064e+00 5.144210820081316358e-05 0.000000000000000000e+00 5.315589474651383206e-02 7.484024659907222876e+00 1.611374620626654939e-03 3.694607204095984088e+00 1.538403294865594434e-03 6.704817278707000838e+00 0.000000000000000000e+00 5.175485565401003463e+00 3.037677511918793982e+00 6.444283668146829624e-01 7.924144158697897085e-06 1.227856368977169916e-07 1.106282162175579750e-06 0.000000000000000000e+00 6.093866874711632242e+00 1.604401573095203383e-04 1.225777795591769248e+00 3.030886415001183588e-03 1.758950468657392581e-04 8.241230592538531852e+00 0.000000000000000000e+00 1.083777930198202011e-01 9.381248493380486053e+00 2.134503110146887206e+00 5.810884650847055390e-17 7.379719948074088265e+00 1.434614755962931865e+00 0.000000000000000000e+00
0.000000000000000000e+00 9.974845885328038619e+00 8.599809592695358162e+00 2.653403820503211108e+00 4.781863855101434191e-02 1.800643669836339278e+00 2.020125976282270198e-04 0.000000000000000000e+00 3.255210455042909512e-01 3.496548998610310655e+00 2.113542548389298319e-03 1.546098276583853792e+00 2.393769487856971419e-03 4.995126459591641144e+00 0.000000000000000000e+00 5.479584107607866628e+00 8.517209821346294341e-02 6.395165926759872610e-01 1.234258428907165656e-04 7.651484116565084489e-08 7.034069982955001354e-07 0.000000000000000000e+00 2.623796941148873074e+00 1.018299540674254787e-03 8.011899426763566368e+00 1.293517873438962754e-03 1.291959629456007250e-04 7.858049569641579524e+00 0.000000000000000000e+00 1.112071013618604193e-01 8.754998431886264143e+00 3.584090714636275488e-01 6.148180413497598994e-17 9.490696910693447563e+00 9.228567683696336843e+00 0.000000000000000000e+00
0.000000000000000000e+00 5.829393191150151310e+00 9.409584171903286887e+00 2.639548819247796718e+00 6.052370799015612847e-03 9.496698918022387303e+00 1.601156129786508373e-04 0.000000000000000000e+00 1.676724625366985966e-01 5.463176202404378401e+00 5.680101817370693598e-03 7.542569603902911979e+00 5.980420297869213850e-03 7.058138235579574982e+00 0.000000000000000000e+00 6.708894093564964578e+00 3.565738828901143104e-02 1.294875947112764214e+00 2.071562393754488587e-04 7.198075295299847775e-08 1.141164467418640886e-06 0.000000000000000000e+00 4.415700723756225798e+00 6.094395610589088685e-03 9.697675204209724953e+00 2.215802400297474210e-03 3.239170777280737153e-05 8.441547870291376654e+00 0.000000000000000000e+00 1.155383908706575230e-01 9.508599075950018076e+00 4.635155148964589245e+00 2.859924361290432489e-17 2.173216482901374480e-01 7.215855933434502489e+00 0.000000000000000000e+00
