log.prior	log.likelihood	log.likelihood.test.set
-1.352591339018264307e+03 -1.214302239381791424e+03 -9.094784582320514232e+01
-1.364980258656787555e+03 -1.210077726690979034e+03 -9.196688195685842970e+01
-1.363256858905387162e+03 -1.218670738621122609e+03 -9.285504669934786648e+01
-1.358723175695128020e+03 -1.212097625460113932e+03 -9.211118228639512040e+01
-1.376801968313539646e+03 -1.223262303171909025e+03 -9.202522610985749907e+01
-1.374478937430571705e+03 -1.214545153765448276e+03 -9.110819946140262005e+01
-1.383902563137939296e+03 -1.206985729573931167e+03 -9.089502807150032027e+01
-1.387955914944070855e+03 -1.211371435002830140e+03 -9.163639367765540555e+01
-1.383050115116663619e+03 -1.216857593096989604e+03 -9.113981861356847958e+01
-1.382064936591722017e+03 -1.214427581403436079e+03 -9.116339592609801912e+01
-1.390635729855914860e+03 -1.210531828095229685e+03 -9.120139708798885181e+01
-1.392083094679716623e+03 -1.215787787441110140e+03 -9.215419102119597028e+01
-1.389244296240874519e+03 -1.210055282178215521e+03 -9.186440956568105776e+01
-1.396752534072307526e+03 -1.209912298060883586e+03 -9.272953038257435310e+01
-1.397521667175387620e+03 -1.205883283155842719e+03 -9.262433401450158499e+01
-1.386896874602632124e+03 -1.207940787646663694e+03 -9.360595785832231286e+01
-1.389086721664023571e+03 -1.210969507775553211e+03 -9.285175756722679807e+01
-1.400963277829908520e+03 -1.206296957905609133e+03 -9.324825555134162869e+01
-1.404075816721089723e+03 -1.210583469706237793e+03 -9.256189324853437483e+01
-1.400418333829225730e+03 -1.211982056336560845e+03 -9.082251811351744664e+01
-1.390209732836917965e+03 -1.215619553184023744e+03 -9.072534577080224949e+01
-1.386261423512951751e+03 -1.213669262798754971e+03 -9.128227970882903719e+01
-1.386887871908139687e+03 -1.211649376485779840e+03 -9.050451389387853851e+01
-1.386872235903026649e+03 -1.217201494324145187e+03 -9.053661209833569501e+01
-1.386997354241951143e+03 -1.216388357595174284e+03 -8.989408247369863147e+01
-1.393560892390307117e+03 -1.216412808429994584e+03 -9.054723216416070386e+01
-1.373669366831742991e+03 -1.217651616187600666e+03 -9.116581750084719715e+01
-1.353480955905258043e+03 -1.222189234218288220e+03 -9.157241376072238381e+01
-1.347482516461504702e+03 -1.216613889010286357e+03 -9.307233602847458087e+01
-1.365854682243109664e+03 -1.216394557250739354e+03 -9.492739995069240422e+01
-1.363440329589717749e+03 -1.211413654203854776e+03 -9.209131830995130485e+01
-1.354574432397831060e+03 -1.214146310507697535e+03 -9.126057727266871211e+01
-1.353405454254731239e+03 -1.211418130720485578e+03 -9.097193483215013998e+01
-1.347414854448666802e+03 -1.216272765605303221e+03 -9.098368790742941314e+01
-1.346522068979914138e+03 -1.214873636099636997e+03 -9.110611039703900360e+01
-1.343430175202866394e+03 -1.210716475167561612e+03 -9.117055788973530639e+01
-1.337836054083324143e+03 -1.211561432654547616e+03 -9.099244909668635728e+01
-1.347805644830200890e+03 -1.209757330945609965e+03 -9.083094654143275193e+01
-1.346087976238150759e+03 -1.209303694757228413e+03 -9.126603479728871093e+01
-1.340943067974828182e+03 -1.214427597783206011e+03 -9.104904909358077703e+01
-1.350458301164021350e+03 -1.211466052517238495e+03 -9.156854332208891378e+01
-1.354306338385609024e+03 -1.215046376364953630e+03 -8.976984278423734054e+01
-1.368643936890063060e+03 -1.211633502984913093e+03 -9.020762972850533856e+01
-1.367350531633011315e+03 -1.212828573503430107e+03 -9.071762041419697198e+01
-1.373362473044903936e+03 -1.203152313771770878e+03 -9.085487338098073451e+01
-1.378337048974451363e+03 -1.199242777712668612e+03 -9.276742726999515298e+01
-1.388713106171027675e+03 -1.202099680398380087e+03 -9.107831066024994016e+01
-1.394827771686761935e+03 -1.202039968850291416e+03 -9.015605507750419179e+01
-1.385079151888086471e+03 -1.207132520096106418e+03 -8.962624923658086118e+01
-1.385991024171800063e+03 -1.204632700559753403e+03 -9.027826983881178080e+01
-1.367036267502067176e+03 -1.212840515137218517e+03 -9.162746781638043103e+01
-1.378063953665459621e+03 -1.216308850272396057e+03 -9.445983241541682673e+01
-1.392703356062117109e+03 -1.203313103356340434e+03 -9.181955218510188388e+01
-1.402990549580177458e+03 -1.202135252812554199e+03 -9.127875646996255909e+01
-1.407767969113073150e+03 -1.207383918562002236e+03 -9.128033963762268854e+01
-1.397337859517181641e+03 -1.208443377981932372e+03 -9.117735864175185156e+01
-1.384443003985968062e+03 -1.203755378785326684e+03 -9.144437228703654341e+01
-1.392343643993207252e+03 -1.202757845830344650e+03 -9.064124594586044736e+01
-1.372915502191657197e+03 -1.205744026225365815e+03 -9.066681689791485610e+01
-1.377361071801289427e+03 -1.203187294269541326e+03 -9.033638595476017485e+01
-1.373151008244991999e+03 -1.206009995959264870e+03 -9.097286353364683009e+01
-1.401222698344467517e+03 -1.205327652006099015e+03 -9.092817666341321114e+01
-1.386511433306346362e+03 -1.209504949370884788e+03 -9.201206470996103803e+01
-1.384721167028455511e+03 -1.210238245709075500e+03 -9.162502669750369932e+01
-1.395894750688166141e+03 -1.202751953925255748e+03 -8.996275221123022448e+01
-1.400841340307081964e+03 -1.205850984985607283e+03 -8.979706514378679572e+01
-1.392956687816675640e+03 -1.204269894270753639e+03 -9.033867784438888293e+01
-1.392156788730221024e+03 -1.206800105884968389e+03 -9.113183828978279166e+01
-1.389138605591075930e+03 -1.201690272535242684e+03 -9.049666670531863133e+01
-1.388183834646296191e+03 -1.206689938734383304e+03 -9.012002517675608715e+01
-1.396523023097522582e+03 -1.202368241673353168e+03 -9.001679409701020518e+01
-1.391506687755107578e+03 -1.209371644232981225e+03 -9.009982786992949855e+01
-1.385020784727054661e+03 -1.209268122472304185e+03 -9.009038809685412730e+01
-1.394524890456975299e+03 -1.212206737477364186e+03 -9.073114637552907880e+01
-1.401748523355607176e+03 -1.206941628960427806e+03 -9.027154157991040506e+01
-1.425253535026141890e+03 -1.208437793580816788e+03 -9.044651884731212022e+01
-1.438942703328592870e+03 -1.211367837921733553e+03 -9.101308165642851122e+01
-1.432448121689360505e+03 -1.212041411156907770e+03 -8.967383676094024736e+01
-1.426938854280967007e+03 -1.212056227649344464e+03 -9.087300478579635410e+01
-1.439148868968220313e+03 -1.209618280776137453e+03 -9.036544094906130908e+01
-1.440185648806791278e+03 -1.208647407152176811e+03 -9.274365357878139093e+01
-1.434549541419689149e+03 -1.205510101776788360e+03 -9.088121450348808139e+01
-1.415849173298444157e+03 -1.210730104547536257e+03 -9.094917197502837780e+01
-1.414249913784131195e+03 -1.206958827025055143e+03 -9.102914952840527008e+01
-1.411936684901353146e+03 -1.207993396312417417e+03 -9.193661010405304523e+01
-1.401261955702522528e+03 -1.206111605235985280e+03 -9.192436858542515665e+01
-1.394947491628637863e+03 -1.203417973405658813e+03 -9.197024833259817456e+01
-1.382367940476030299e+03 -1.199694665836691456e+03 -9.265740105977698704e+01
