time.decay.1	time.decay.2	time.decay.3	time.decay.4	time.decay.5	time.decay.6	
8.874590609388783946e+01 8.754173133791042005e+01 1.017653785722435913e+02 1.062576720348298949e+02 9.408155825528314153e+01 9.723953465688926201e+01
9.494116328037162589e+01 1.060243981072019750e+02 1.013736758862611680e+02 1.112446690419639310e+02 1.049481138020538395e+02 8.762643006483709485e+01
9.796553283726105121e+01 1.022407516415677549e+02 8.590738068976700959e+01 9.213400418866345376e+01 8.077486351238195539e+01 9.495404224050534481e+01
1.023984914875225201e+02 8.946135377242477205e+01 1.138798799867036280e+02 9.236354128197429247e+01 8.042672472391802785e+01 1.059068152487538867e+02
1.036905644839028753e+02 8.082736230363029506e+01 1.114469639775619356e+02 8.249713548784333739e+01 8.808074742192587792e+01 1.120121846609169296e+02
9.482121436687657479e+01 8.197710254930568397e+01 1.079519361465713416e+02 9.797135433266531379e+01 1.136338100146039665e+02 9.530640120395611348e+01
9.777029781900493788e+01 1.140971375427317014e+02 1.142482574915205191e+02 1.007499970817438566e+02 1.052168005819463161e+02 1.037694063497774266e+02
9.542944717845486480e+01 9.050722920112201564e+01 9.888004682162952008e+01 9.075826146271994332e+01 9.163330668250490874e+01 9.708970970082469876e+01
9.989389236582283615e+01 8.452667649432430608e+01 1.026588204958712680e+02 1.031819469316180715e+02 8.593193962428442489e+01 8.794567955265672765e+01
9.548389386401589718e+01 1.004959963076619829e+02 1.047835951460431403e+02 8.572844964836221493e+01 8.781585139666292150e+01 9.290032559267629608e+01
9.194058584457114591e+01 1.007383996543940299e+02 1.041543659137442575e+02 1.030734725392544391e+02 1.116380903339863551e+02 1.051597345223574962e+02
9.084901446143152270e+01 9.391149842750670018e+01 9.438962156017383620e+01 9.734500804906571148e+01 9.598099533241010306e+01 8.308353791682122846e+01
1.040916276732802714e+02 1.115763081309630280e+02 9.652699256434263475e+01 8.955142395873238570e+01 1.000025232236635020e+02 8.836969845385371514e+01
1.087672232829944932e+02 8.837795428450156976e+01 1.084482684962821111e+02 1.009284027837459803e+02 1.134896725120917722e+02 1.059623628800604251e+02
8.163148860515940441e+01 1.037874462790130963e+02 9.422369582182697911e+01 9.732730111535423134e+01 1.093828395895533987e+02 9.809882229154037248e+01
1.209007188429319797e+02 1.013495076192101436e+02 1.070760554183430173e+02 9.526155098187643944e+01 9.584254736784365036e+01 1.004134278795942237e+02
9.378447806103204698e+01 1.015450615214090533e+02 9.794896937626918998e+01 1.071127696316039390e+02 8.957785984702539395e+01 9.296238309254509602e+01
1.018884349534461649e+02 1.069442697073447874e+02 1.196393564652754549e+02 9.168421891892521103e+01 8.741894223715330270e+01 9.316532599064171905e+01
9.740337261960974047e+01 1.127923131709713545e+02 1.179899488194431854e+02 1.008706403227654533e+02 1.045085940748667781e+02 1.116974810852793780e+02
9.362061688957460603e+01 9.166227157955873395e+01 8.986149353980870558e+01 9.976118564951902101e+01 1.069329894074854082e+02 8.420768697460685814e+01
9.418029420419345854e+01 1.165805881535463868e+02 8.992382338758012850e+01 9.103672123267945437e+01 9.142368540184250492e+01 1.006901232170669971e+02
9.521161321564747482e+01 9.087597448275448642e+01 1.219905835453618437e+02 9.203712500355946702e+01 9.724471988109125675e+01 8.598702490504784635e+01
1.086085255413127584e+02 1.119533386136574507e+02 1.228409003220846785e+02 8.479400621978389552e+01 9.800591896856852259e+01 8.509543213364503345e+01
1.034402370919003147e+02 9.787034922953176874e+01 8.438977774308693824e+01 8.724175741109388582e+01 1.040328235553285054e+02 9.809374362679315595e+01
9.889827793375539500e+01 9.591257122035241878e+01 9.343718740142979584e+01 1.066216954446361456e+02 9.440424854015149947e+01 1.164106775947927019e+02
9.455670379507364487e+01 1.001321657913137670e+02 1.002539428148212153e+02 9.554494484996101278e+01 9.750243116546334932e+01 9.884725792966041524e+01
9.380358465715369221e+01 1.045513624949331444e+02 9.492306559426137369e+01 9.764895682622555739e+01 1.030678743825511390e+02 1.047515221448352207e+02
