word.concentration.1	word.concentration.2	word.concentration.3	word.concentration.4	word.concentration.5	word.concentration.6	
9.405792431907848083e+00 9.843283758104391268e+00 7.900529721630270785e+00 6.671799702084915573e+00 7.859396169078341821e+00 6.726349444991644333e+00
9.188918771705315791e+00 9.792438815216691239e+00 7.771700063381814516e+00 7.546887993781487225e+00 7.443930386125558130e+00 9.488071848188260660e+00
9.287440273220148867e+00 8.610520567186556562e+00 4.968364445517091887e+00 8.308517257115672905e+00 9.890295108093512866e+00 5.854716660916700732e+00
9.384293596890724842e+00 7.454894805792641854e+00 9.545911233543712626e+00 8.609382247838805569e+00 7.973874828538469295e+00 7.343360637152924753e+00
9.261367594578157281e+00 7.850034273195280576e+00 8.264358137003108951e+00 9.774619900099430936e+00 7.572282231794444485e+00 9.236277812306687096e+00
9.649492435105738508e+00 8.698723377405684687e+00 6.596452563861033624e+00 9.011957784669963445e+00 7.143752491405131799e+00 5.991577702458072530e+00
9.483887589303837018e+00 8.927309180445263337e+00 8.403842983211855966e+00 9.417474857698529433e+00 6.552480343033061594e+00 6.002505407654181724e+00
9.843399741475796105e+00 9.811365823043217915e+00 9.531302061574891127e+00 8.233236256819312260e+00 9.349794603913935021e+00 5.465886199772091558e+00
9.677526880707773671e+00 9.906364264305700829e+00 9.030413949016777408e+00 9.214994614087363090e+00 8.619931274055797843e+00 7.709403129421131595e+00
9.469573137739550006e+00 9.640240112181748700e+00 9.167787386392411975e+00 9.696270800132873902e+00 7.546884923759938246e+00 9.279625210832557869e+00
8.422769890900685397e+00 9.707618708770512583e+00 9.823909596741710715e+00 8.774038783188984780e+00 8.616745394281753789e+00 7.791374234926647269e+00
8.332518595996793564e+00 8.761744084249851738e+00 8.677587935468185520e+00 7.508730062060649857e+00 7.836315678273416019e+00 9.833802534171585563e+00
9.049737356590224380e+00 9.847341102595045470e+00 9.108922573984344240e+00 7.062789728254853294e+00 6.454625254973946902e+00 9.326513603127155605e+00
8.679375722243319657e+00 9.803392129760743146e+00 7.034729089221086973e+00 9.248307653777647630e+00 8.943990928328277690e+00 8.063850522054110570e+00
8.312291156141363047e+00 9.840083445579907107e+00 6.879203139466126160e+00 9.620135057564340286e+00 8.181201191037683174e+00 8.424951225958043466e+00
8.778241506395147553e+00 9.670003942852108736e+00 8.827680191974485169e+00 8.242918271923787898e+00 4.797755553197917244e+00 8.784854025020791823e+00
8.611380081402316478e+00 9.805366719316905844e+00 7.339569702970264231e+00 6.175730492996733823e+00 5.696188883716827078e+00 9.948868538425557517e+00
8.784088912880456235e+00 9.792903665930303703e+00 7.152379482648878017e+00 6.190230743440288563e+00 9.533054718256758875e+00 9.257376445231853879e+00
9.528483820004975513e+00 9.385210171927264255e+00 9.920821806157011480e+00 7.451027081223697834e+00 9.958947527423369195e+00 6.530794446874158332e+00
9.924264622805457847e+00 9.854866098852555822e+00 8.935347567992947049e+00 7.060756490066526503e+00 8.138628170154635910e+00 7.145481222239118857e+00
9.786223196600140284e+00 8.410133596693111002e+00 8.726905788387696816e+00 7.157408238717242632e+00 8.339354226443653317e+00 7.397075148709404857e+00
