word.1	word.2	word.3	word.4	word.5	word.6	word.7	word.8	word.9	word.10	word.11	word.12	word.13	word.14	word.15	word.16	word.17	word.18	word.19	word.20	word.21	word.22	word.23	word.24	word.25	word.26	word.27	word.28	word.29	word.30	word.31	word.32	word.33	word.34	word.35	word.36	word.37	word.38	word.39	word.40	word.41	word.42	word.43	word.44	word.45	word.46	word.47	word.48	word.49	word.50	word.51	word.52	word.53	word.54	word.55	word.56	word.57	word.58	word.59	word.60	word.61	word.62	word.63	word.64	word.65	word.66	word.67	word.68	word.69	word.70	word.71	word.72	word.73	word.74	word.75	word.76	word.77	word.78	word.79	word.80	word.81	word.82	word.83	word.84	word.85	word.86	word.87	word.88	word.89	word.90	
0.0137707 0.0132189 0.0127987 0.0112315 0.0108060 0.0108700 0.0116659 0.0124093 0.0124439 0.0103283 0.0121676 0.0107834 0.0106564 0.0110861 0.0110424 0.0113158 0.0108764 0.0117723 0.0120818 0.0114108 0.0106495 0.0111805 0.0104129 0.0108351 0.0107889 0.0121790 0.0109268 0.0106886 0.0107053 0.0103452 0.0115810 0.0119111 0.0120354 0.0107365 0.0103400 0.0108557 0.0106232 0.0106353 0.0105251 0.0110451 0.0111015 0.0110232 0.0111086 0.0107847 0.0106729 0.0104125 0.0108515 0.0106275 0.0103711 0.0105768 0.0107161 0.0105044 0.0104605 0.0110002 0.0115829 0.0119388 0.0122245 0.0126383 0.0113389 0.0109945 0.0107475 0.0110454 0.0114980 0.0109369 0.0109994 0.0111370 0.0111330 0.0115082 0.0104514 0.0105156 0.0108529 0.0110921 0.0108541 0.0107958 0.0105004 0.0113820 0.0105087 0.0107303 0.0106280 0.0109247 0.0109559 0.0111321 0.0104399 0.0113801 0.0113141 0.0105808 0.0108597 0.0105889 0.0107791 0.0110627
0.0191745 0.0118373 0.0105926 0.0114248 0.0128144 0.0110128 0.0103831 0.0107965 0.0111157 0.0122179 0.0150309 0.0109440 0.0109056 0.0125221 0.0106643 0.0116718 0.0109524 0.0112381 0.0107944 0.0101544 0.0114115 0.0116834 0.0109143 0.0115812 0.0111304 0.0150191 0.0117889 0.0108662 0.0109460 0.0108399 0.0105369 0.0114675 0.0109534 0.0107251 0.0109518 0.0104210 0.0122529 0.0109225 0.0102919 0.0106886 0.0104033 0.0117347 0.0108198 0.0105533 0.0108322 0.0101394 0.0112274 0.0102890 0.0109028 0.0107058 0.0108379 0.0110526 0.0102464 0.0108768 0.0111901 0.0106937 0.0110662 0.0103923 0.0105634 0.0106573 0.0111144 0.0107601 0.0102399 0.0106465 0.0107879 0.0112092 0.0110016 0.0099353 0.0102820 0.0099640 0.0107969 0.0111432 0.0110417 0.0107543 0.0108812 0.0111821 0.0109109 0.0108652 0.0107615 0.0104982 0.0106982 0.0108794 0.0104535 0.0112347 0.0106523 0.0106549 0.0109842 0.0107659 0.0112642 0.0108119
0.0118958 0.0114259 0.0108862 0.0122877 0.0127339 0.0108464 0.0123113 0.0111963 0.0117147 0.0114354 0.0106506 0.0115001 0.0114916 0.0110687 0.0111830 0.0111478 0.0113270 0.0104920 0.0118468 0.0106816 0.0108028 0.0113404 0.0109924 0.0112092 0.0109450 0.0106795 0.0128812 0.0111545 0.0109847 0.0110870 0.0109450 0.0106052 0.0103975 0.0108580 0.0109326 0.0103774 0.0113096 0.0104916 0.0110679 0.0108824 0.0112474 0.0113018 0.0112624 0.0104506 0.0111332 0.0122266 0.0120943 0.0107071 0.0107817 0.0112731 0.0107994 0.0107402 0.0105620 0.0109620 0.0109400 0.0105445 0.0104453 0.0107791 0.0114042 0.0113462 0.0106253 0.0114720 0.0110008 0.0107734 0.0111527 0.0107420 0.0113860 0.0114750 0.0106778 0.0110620 0.0107680 0.0112004 0.0110114 0.0114258 0.0106713 0.0107950 0.0107700 0.0109216 0.0108365 0.0105141 0.0108776 0.0109281 0.0108794 0.0116823 0.0112563 0.0107879 0.0109324 0.0110034 0.0113775 0.0119263
0.0139144 0.0132124 0.0127924 0.0113540 0.0108231 0.0108647 0.0117028 0.0124032 0.0124377 0.0103232 0.0121616 0.0107780 0.0106512 0.0110806 0.0110369 0.0113102 0.0108711 0.0117665 0.0120758 0.0114051 0.0106443 0.0111750 0.0104077 0.0108297 0.0107836 0.0121730 0.0109866 0.0106833 0.0107000 0.0103400 0.0115752 0.0119052 0.0120295 0.0107312 0.0103349 0.0108503 0.0106179 0.0106301 0.0105199 0.0110396 0.0110960 0.0110178 0.0111031 0.0107793 0.0106676 0.0104501 0.0108888 0.0106223 0.0103659 0.0105715 0.0107109 0.0104992 0.0104554 0.0109948 0.0115771 0.0119329 0.0122184 0.0126320 0.0113333 0.0109891 0.0107422 0.0110399 0.0114923 0.0109315 0.0109940 0.0111315 0.0111275 0.0115025 0.0104462 0.0105104 0.0108475 0.0110867 0.0108487 0.0107904 0.0104952 0.0113763 0.0105035 0.0107250 0.0106227 0.0109193 0.0109505 0.0111266 0.0104347 0.0113745 0.0113085 0.0105755 0.0108543 0.0105837 0.0107738 0.0110572
0.0430614 0.0201672 0.0201465 0.0218634 0.0155421 0.0120742 0.0218660 0.0281097 0.0097691 0.0108364 0.0177854 0.0089821 0.0120605 0.0092215 0.0087242 0.0098139 0.0093969 0.0096525 0.0097677 0.0102006 0.0093869 0.0101725 0.0087123 0.0095543 0.0115532 0.0177129 0.0175917 0.0102014 0.0096139 0.0097572 0.0098288 0.0094883 0.0095291 0.0100074 0.0109942 0.0107969 0.0098574 0.0112030 0.0099355 0.0090509 0.0092686 0.0093105 0.0088527 0.0093008 0.0090422 0.0131197 0.0130945 0.0101452 0.0094486 0.0094555 0.0089455 0.0093326 0.0100609 0.0087379 0.0091318 0.0088486 0.0091006 0.0093214 0.0093104 0.0092517 0.0094965 0.0090479 0.0087150 0.0089485 0.0087230 0.0098055 0.0082309 0.0085820 0.0092458 0.0100714 0.0090571 0.0092443 0.0090091 0.0090059 0.0091251 0.0094338 0.0090810 0.0101630 0.0100905 0.0104069 0.0103152 0.0095182 0.0098925 0.0097598 0.0098545 0.0100053 0.0102253 0.0090258 0.0088337 0.0100180
0.0266449 0.0147726 0.0135687 0.0110678 0.0123935 0.0106511 0.0133722 0.0170900 0.0107507 0.0118166 0.0145004 0.0105845 0.0105474 0.0121109 0.0103140 0.0112884 0.0105927 0.0108690 0.0104398 0.0098209 0.0110367 0.0112997 0.0105558 0.0112008 0.0107648 0.0144889 0.0114078 0.0145871 0.0105864 0.0104839 0.0101908 0.0110909 0.0105937 0.0103728 0.0105921 0.0100787 0.0118504 0.0105638 0.0099539 0.0103375 0.0100616 0.0113493 0.0104644 0.0102067 0.0104765 0.0098125 0.0108647 0.0140289 0.0105447 0.0103542 0.0104819 0.0106896 0.0099099 0.0105195 0.0108226 0.0103425 0.0107027 0.0100510 0.0102165 0.0103073 0.0107493 0.0104067 0.0099035 0.0102968 0.0104336 0.0108410 0.0106403 0.0096089 0.0099443 0.0096367 0.0104423 0.0107772 0.0106791 0.0104011 0.0105238 0.0108149 0.0105525 0.0105083 0.0104080 0.0101533 0.0103468 0.0105220 0.0101102 0.0108657 0.0103025 0.0103049 0.0106234 0.0104123 0.0108942 0.0104568
0.0425524 0.0244031 0.0199394 0.0216299 0.0153928 0.0119741 0.0216272 0.0277965 0.0096881 0.0107465 0.0175982 0.0089076 0.0119605 0.0091451 0.0086519 0.0141756 0.0093189 0.0095725 0.0096867 0.0101160 0.0093090 0.0100881 0.0086400 0.0094751 0.0114574 0.0175264 0.0174080 0.0101168 0.0095342 0.0096763 0.0097473 0.0094096 0.0094501 0.0099244 0.0109031 0.0107074 0.0097756 0.0111101 0.0098531 0.0089759 0.0091918 0.0092333 0.0087793 0.0092237 0.0089672 0.0129935 0.0129685 0.0100611 0.0093702 0.0093771 0.0088713 0.0092552 0.0099775 0.0086654 0.0090561 0.0087752 0.0090251 0.0092441 0.0092332 0.0091750 0.0094178 0.0089729 0.0086428 0.0088743 0.0086507 0.0097242 0.0081627 0.0085108 0.0091692 0.0099879 0.0089820 0.0091676 0.0089343 0.0089312 0.0090494 0.0093556 0.0090057 0.0100787 0.0100068 0.0103206 0.0102297 0.0094393 0.0098105 0.0096789 0.0097728 0.0099223 0.0101405 0.0089509 0.0087605 0.0099350
0.0348009 0.0153616 0.0215924 0.0091791 0.0216182 0.0118556 0.0210237 0.0219805 0.0102780 0.0098178 0.0119574 0.0116247 0.0095772 0.0105189 0.0093233 0.0124510 0.0106326 0.0101629 0.0108533 0.0112662 0.0101093 0.0095288 0.0133109 0.0105297 0.0099962 0.0117992 0.0124283 0.0173705 0.0107990 0.0095425 0.0091080 0.0091155 0.0098208 0.0102619 0.0095645 0.0094679 0.0107391 0.0097153 0.0109006 0.0093417 0.0118218 0.0095604 0.0095469 0.0096100 0.0098019 0.0096749 0.0094018 0.0170137 0.0103343 0.0105926 0.0108489 0.0102519 0.0095174 0.0105911 0.0091440 0.0094897 0.0100233 0.0095751 0.0094370 0.0098477 0.0105865 0.0106097 0.0107886 0.0100170 0.0107423 0.0094106 0.0107569 0.0103355 0.0104058 0.0101200 0.0095054 0.0096253 0.0099432 0.0094832 0.0092692 0.0093257 0.0095756 0.0095919 0.0092213 0.0099283 0.0093297 0.0088848 0.0095605 0.0094694 0.0097197 0.0095275 0.0095460 0.0094497 0.0100875 0.0097737
0.0436820 0.0249459 0.0236257 0.0212150 0.0161393 0.0128064 0.0212036 0.0272418 0.0095412 0.0105835 0.0172654 0.0097863 0.0117791 0.0090064 0.0085207 0.0139264 0.0101914 0.0094273 0.0095398 0.0099626 0.0091679 0.0099352 0.0085090 0.0093314 0.0112837 0.0171946 0.0170812 0.0099634 0.0104034 0.0095295 0.0095995 0.0092669 0.0093068 0.0097739 0.0107377 0.0105450 0.0096274 0.0109416 0.0097037 0.0088397 0.0090524 0.0090933 0.0086461 0.0090838 0.0088312 0.0127675 0.0127429 0.0099085 0.0102419 0.0102487 0.0097506 0.0101287 0.0098262 0.0085340 0.0089188 0.0086422 0.0088883 0.0091039 0.0090931 0.0090359 0.0092750 0.0088368 0.0085117 0.0087397 0.0085195 0.0095768 0.0080389 0.0083817 0.0090301 0.0098364 0.0088458 0.0090286 0.0087989 0.0087958 0.0089122 0.0092137 0.0088691 0.0099259 0.0098551 0.0101641 0.0100746 0.0092962 0.0096617 0.0095321 0.0096246 0.0097719 0.0099867 0.0088152 0.0086276 0.0097843
0.0397530 0.0142724 0.0351450 0.0085655 0.0276004 0.0186230 0.0194945 0.0203608 0.0095909 0.0091615 0.0111318 0.0108476 0.0164968 0.0098158 0.0087001 0.0115829 0.0099218 0.0094835 0.0101278 0.0105131 0.0094335 0.0088919 0.0124211 0.0098259 0.0093280 0.0109842 0.0115622 0.0161126 0.0176370 0.0164644 0.0084991 0.0085062 0.0091643 0.0095759 0.0089251 0.0088350 0.0100213 0.0090658 0.0101719 0.0087173 0.0110316 0.0089213 0.0089088 0.0089676 0.0091467 0.0090282 0.0087733 0.0157796 0.0096435 0.0098845 0.0101237 0.0095666 0.0164410 0.0098831 0.0085328 0.0088553 0.0093533 0.0089350 0.0088062 0.0091894 0.0098788 0.0099005 0.0100675 0.0093474 0.0100242 0.0087815 0.0100379 0.0096446 0.0097102 0.0094435 0.0088700 0.0089819 0.0092785 0.0088493 0.0086496 0.0087023 0.0089355 0.0089507 0.0086049 0.0092647 0.0087060 0.0082908 0.0089214 0.0088364 0.0090700 0.0088906 0.0089079 0.0088180 0.0094132 0.0091203
