,abstract,pmid,pubdate,title
559,"This work presents (131)I (t(½) = 8.04 d) concentrations in sewage effluent from the Stony Brook Water Pollution Control Plant (WPCP), a small plant serving a regional thyroid cancer treatment facility in Stony Brook, NY, USA. The concentrations detected in sewage effluent ranged from 1.8 ± 0.3 to 227 ± 2 Bq L(-1). The primary source of (131)I is excreta from thyroid cancer inpatients treated at the Stony Brook University Medical Center. Based on several time series measurements following known inpatient treatments, the mean sewage half-life (T(s)) of iodine is 3 d in this plant. The T(s), analogous to a radioactive half-life, describes the time it takes for half of a wastewater component to be removed from a WPCP. Flow recycling, or activated sludge, used to maintain bacterial populations necessary for sewage treatment causes iodine to remain in this plant far longer than its hydraulic retention time. The experimental results suggest that most (131)I entering the Stony Brook WPCP leaves in sewage effluent, not in sewage sludge. Patient treatments can result in continuous discharges of (131)I to surface waters where it can be used as a tracer of sewage-derived material and to understand the behavior of (131)I in aquatic environments.",22925394,2012,Medically-derived 131I in municipal sewage effluent.
560,"Deterioration in the frontal and prefrontal cortex associated with executive functions (EF) occurs with age and may be associated with changes in daily performance. The aim of the present study was to describe changes occurring with age in Executive Functions (EF) and handwriting activity, as well as to analyze relationships between age, EF and handwriting performance. The study population included 80 healthy participants (aged 31 to 76+) living in the community. After answering five questions about their writing habits, the participants completed the Behavioral Assessment of the Dysexecutive Syndrome (BADS). In addition, they performed a handwriting task on a digitizer included in the Computerized Penmanship Evaluation Tool (ComPET), which provides kinematic measures of the handwriting process. Significant differences were found between the four age groups for both EF and temporal and spatial handwriting measures. A series of regressions indicated that age predicted 35% of the variance of the BADS profile score (EF control) and 32% of the variance of in-air time while writing. The results of this study indicated age effect on both EF control and handwriting performance. Possible implications for further research and clinical evaluation and intervention are discussed.",24128884,2013,Reprint of 'Age-related changes in executive control and their relationships with activity performance in handwriting'.
561,"CONTEXT
The Chronic Care Model (CCM) has been developed to improve the quality of medical care delivered by general practitioners to patients with multiple chronic conditions. Despite an increasing use of this model, it remains unclear to what extent the different recommendations are valued by the patients.


OBJECTIVE
This study aims to identify the preferences of patients with multiple chronic conditions for recommendations of the Chronic Care Model.


METHODS
The patients' preferences were identified with a discrete choice experiment. The hypothetical general practice cares were described using 10 recommendations of the Chronic Care Model (i.e. shared decision making; informational continuity (INF); regular follow-up; planned care; communication; collaboration with a nurse; advices on health habits; patient empowerment; psychological support; coordination). Respondents were consecutively recruited in a hospital setting during routine follow-up visits to their pulmonary specialist. The sample of respondents included 150 patients with multiple chronic conditions in addition to an obstructive sleep apnoea syndrome.


RESULTS
The INF is highly valued by the patients. At the opposite, patients do not appear to value collaboration between nurses and GPs. To a large extent, the patients' preferences for the recommendations of the CCM depend on their gender, number of chronic conditions and self-perceived health condition.


DISCUSSION
The INF appeared to be a minimal requirement to ensure high-quality general practice care. The significant interactions between the patients' socio-demographic characteristics and their preferences for the CCM highlighted the necessity to deliver personalized services.",24948135,2015,What are the patients' preferences for the Chronic Care Model? An application to the obstructive sleep apnoea syndrome.
562,"OBJECTIVE
To synthesise the views of patients on patient-held records (PHR) and to determine from a patient's perspective the effectiveness and any benefits or drawbacks to the PHR.


DESIGN
Systematic review and thematic synthesis of qualitative studies, which investigate the perspective of patients on the effectiveness of the PHR.


DATA SOURCES
Medline, CINAHL, PsychINFO, PubMed, Cochrane.


REVIEW METHODS
Systematic review of literature relevant to the research question and thematic synthesis involving line by line coding of the quotations from participants and the interpretations of the findings offered by authors.


RESULTS
Ten papers that reported the experiences of 455 patients were included in the thematic synthesis. Five studies focused on cancer care, two on mental health, one on antenatal care, one on chronic disease and one on learning disability. The completeness of reporting was variable. Three main themes were identified: (i) practical benefits of the PHR (having a record of one's condition, an aide memoire, useful information source and tool for sharing information across the health system); (ii) psychological benefits of the PHR (empowered to ask questions, a place to record thoughts and feelings and feeling in control); and (iii) drawbacks to the PHR (PHR imposes unwanted responsibility and ineffectiveness).


CONCLUSIONS
The effectiveness of the PHR is largely dependent upon uptake across the health system from patients and health-care providers alike. Robust qualitative studies are needed, which offer more complete reporting and examine what patients want and need from a PHR.",25059439,2015,Patients' views on the effectiveness of patient-held records: a systematic review and thematic synthesis of qualitative studies.
563,"BACKGROUND
Internet discussion forums provide new, albeit less used data sources for exploring personal experiences of illness and treatment strategies.


OBJECTIVE
To gain an understanding of how discussion forum participants value nicotine replacement therapy (NRT) in smoking cessation (SC).


SETTING
Finnish national Internet-based discussion forum, STUMPPI, supporting SC and consisting of ten free discussion areas, each with a different focus. The analysis was based on STUMPPI forum participants' postings (n = 24 481) in five discussion areas during January 2007-January 2012.


DESIGN
Inductive content analysis of the postings concerning NRT use or comparing NRT to other SC methods.


RESULTS
Three major themes related to NRT in SC emerged from the discussions. These were as follows: (I) distrust and negative attitude towards NRT; (II) neutral acceptance of NRT as a useful SC method; and (III) trust on the crucial role of NRT and other SC medicines. The negative attitude was related to following perceptions: NRT use maintains tobacco dependence, fear of NRT dependence or experience of not gaining help from NRT use. NRT was perceived to be useful particularly in the initiation of SC attempts and in dealing with physiological dependence. The most highlighted factors of successful quitting were quitters' own psychological empowerment and peer support from the discussion community.


CONCLUSIONS
The majority of STUMPPI forum participants had low or balanced expectations towards the role of NRT in SC. More research from the smokers' and quitters' perspective is needed to assess the real value of NRT compared to other methods in SC.",25292017,2015,Is nicotine replacement therapy overvalued in smoking cessation? Analysis of smokers' and quitters' communication in social media.
564,"OBJECTIVES
The National Institutes of Health, led by the National Heart, Lung, and Blood Institute, organized a working group of experts to discuss the problem of weight regain after weight loss. A number of experts in integrative physiology and behavioral psychology were convened with the goal of merging their perspectives regarding the barriers to scientific progress and the development of novel ways to improve long-term outcomes in obesity therapeutics. The specific objectives of this working group were to: (1) identify the challenges that make maintaining a reduced weight so difficult; (2) review strategies that have been used to improve success in previous studies; and (3) recommend novel solutions that could be examined in future studies of long-term weight control.


RESULTS
Specific barriers to successful weight loss maintenance include poor adherence to behavioral regimens and physiological adaptations that promote weight regain. A better understanding of how these behavioral and physiological barriers are related, how they vary between individuals, and how they can be overcome will lead to the development of novel strategies with improved outcomes.


CONCLUSIONS
Greater collaboration and cross-talk between physiological and behavioral researchers is needed to advance the science and develop better strategies for weight loss maintenance.",25469998,2015,NIH working group report: Innovative research to improve maintenance of weight loss.
565,"OBJECTIVE
Fibromyalgia is characterized by chronic widespread pain and various associated symptoms, including psychological distress. This study presents a secondary analysis of the interviews of patients with fibromyalgia to appraise the affective load of the patient narratives as assessed by independent clinicians.


SETTING AND PARTICIPANTS
Three clinicians, an internist, a psychiatrist and a psychologist, who were experienced in chronic pain reviewed the interview transcripts of 56 women eliciting their views regarding fibromyalgia onset. A Clinical Global Impression (CGI) scale was used (0 = no affective load to 5 = maximum affective load) to provide a subjective appraisal of the intensity of the affective impact, as suggested in the transcripts and from the clinician perspectives.


RESULTS
The mean affective load was 3.6 (SD = ±1), indicating the perception of a high affective load in the clinicians. Values indicating a high or very high affective load (≥4 points on the CGI scale) were more frequent than those in the lower range [23 narratives (41%) vs. 3 (5%)]. The inter-rater agreement of the affective load of the narratives was high (K > 0.85). These results of the clinician perspectives parallel those of the patient narratives, emphasizing disruptive circumstances, psychological distress and hopelessness surrounding symptom onset.


CONCLUSION
The affective load in the narratives of these patients with fibromyalgia was high and had a negative undertone when considered from the clinicians' perspective. This study highlights the importance of considering the affective resonance in the context of therapeutic relationships that are often emotionally laden and highly challenging for the clinician.",25494577,2015,Assessing the affective load in the narratives of women suffering from fibromyalgia: the clinicians' appraisal.
566,"Self-criticism is a form of negative self-evaluation that has strong associations with many forms of psychopathology. Rumination is a maladaptive form of repetitive thinking that is associated with many psychological disorders. Although measures of several different types of rumination (e.g., general rumination, depressive rumination, anger rumination) have been developed, none focuses specifically on self-critical rumination. An initial pool of items addressing self-critical rumination was developed by adapting items from existing rumination measures and through a writing task administered to both student and clinical samples. Following an evaluation of content validity, 24 items were administered to a large sample of undergraduates along with measures of related constructs. The final 10-item version of the Self-Critical Rumination Scale showed excellent internal consistency, a clear single-factor structure, convergent relationships with related constructs, and incremental validity over other measures of self-criticism and rumination in predicting both general distress and features of borderline personality disorder.",25712674,2016,Development and Validation of a Measure of Self-Critical Rumination.
567,"Gay and bisexual men (GBM) who participate in gay community subcultures have different profiles, including differing risk behaviors. We examined men's participation in gay community subcultures, and its association with risk behavior. In a cross-sectional survey, 849 GBM provided information about men in their personal networks. We devised measures of their participation in five subcultural groupings and explored their associations with sexual behavior. We identified five subcultural groupings: sexually adventurous; bear tribes; alternative queer; party scene; and sexually conservative. Higher scores on the sexually adventurous measure was associated with being older, having more gay friends, being HIV-positive, and being more sexually active. It was also independently associated with unprotected anal intercourse with casual partners (AOR 1.82; 95 % CI 1.20-2.76; p = 0.005). HIV prevention strategies need to account for the different subcultural groupings in which GBM participate. Measures of engagement with gay subcultures are useful indicators of differential rates of risk behavior and modes of participation in gay community life. Men in more sexually adventurous subcultures are more likely to engage in sexual risk behavior.",25711301,2015,Understanding Gay Community Subcultures: Implications for HIV Prevention.
568,"Cluster-randomized controlled trials were carried out to examine effects on sexual practices of school-based interventions among adolescents in three sites in sub-Saharan Africa. In this publication, effects on communication about sexuality with significant adults (including parents) and such communication as a mediator of other outcomes were examined. Belonging to the intervention group was significantly associated with fewer reported sexual debuts in Dar es Salaam only (OR 0.648). Effects on communication with adults about sexuality issues were stronger for Dar es Salaam than for the other sites. In Dar, increase in communication with adults proved to partially mediate associations between intervention and a number of social cognition outcomes. The hypothesized mediational effect of communication on sexual debut was not confirmed. Promoting intergenerational communication on sexuality issues is associated with several positive outcomes and therefore important. Future research should search for mediating factors influencing behavior beyond those examined in the present study.",25724974,2015,"Adolescents' Communication with Parents, Other Adult Family Members and Teachers on Sexuality: Effects of School-Based Interventions in South Africa and Tanzania."
