name,text,start,end
Hermione ,Ron. You're okay. ,1843,1844
Harry,The dog. Where is it?,1844,1845
Ron,Harry it's a trap. He's the dog. He's an Animagus.,1846,1849
Hermione ,"If you want to kill Harry, you have to kill us too!",1863,1865
Sirius,No. Only one will die tonight.,1866,1867
Harry,Then it'll be you!,1868,1869
Sirius,"Are you going to kill me, Harry?",1876,1878
Remus,Expelliarmus!,1879,1881
Remus,"Well, well, Sirius. Looking rather ragged, aren't we?",1885,1889
Remus,"Finally, the flesh reflects the madness within.",1889,1892
Sirius,"Well, you'd know all about the madness within, wouldn't you Remus?",1893,1896
Sirius,I found him. ,1906,1907
Remus,I know.,1907,1908
Sirius,It's him. ,1908,1909
Remus,I understand.,1908,1909
Sirius,Let's kill him!  ,1909,1911
Hermione ,No! I trusted you!,1911,1913
Hermione ,"And all this time, you've been his friend.",1913,1917
Hermione ,He's a werewolf! That's why he's been missing classes.,1917,1920
Remus,How long have you known?,1923,1925
Hermione ,Since Professor Snape set the essay. ,1925,1929
Remus,"Well, Hermione. You are the brightest witch of your age I've ever met.",1929,1932
Sirius,"Enough talk, Remus! Come on, let's kill him!",1932,1934
Remus,Wait!,1934,1935
Sirius,I did my waiting! Twelve years of it! In Azkaban!,1935,1937
Remus,Very well. Kill him.,1937,1940
Remus,But wait one more minute. Harry has the right to know why.,1940,1943
Harry,I know why. You betrayed my parents. You're the reason they're dead! ,1952,1954
Remus,"No Harry, it wasn't him. Somebody did betray your parents... ",1955,1958
Remus,"somebody who, until quite recently, I believed to be dead!",1958,1961
Harry,"Who was it, then? ",1962,1964
Sirius,Peter Pettigrew!,1964,1965
Sirius,And he's in this room! Right now!,1965,1968
Sirius,"Come out, come out, Peter!",1969,1972
Sirius,"Come out, come out and play! ",1972,1974
Snape,Expelliarmus!,1974,1975
Snape,Vengeance is sweet.,1978,1980
Snape,How I hoped I'd be the one to catch you.,1981,1983
Remus,Severus,1983,1984
Snape,I told Dumbledore you were helping a friend into the castle. Here's the proof.,1985,1989
Sirius,"Brilliant, Snape.",1990,1991
Sirius,You've put your keen mind to the task and come to the wrong conclusion.,1991,1995
Sirius,"If you'll excuse us, Remus and I have business to attend to. ",1996,1998
Snape,Give me a reason. I beg you!,1998,2003
Remus,Severus. Don't be a fool. ,2004,2005
Sirius,He can't help it. It's habit.,2005,2006
Remus,Sirius be quiet.,2006,2007
Sirius,Be quiet yourself!,2007,2008
Snape,"You two, quarrelling like an old married couple.",2008,2011
Sirius,Why don't you run along and play with your chemistry set!,2011,2013
Snape,"I could do it, you know.",2014,2016
Snape,But why deny the dementors? They're so longing to see you.,2017,2022
Snape,"Do I detect a flicker of fear? Oh, yes.",2023,2025
Snape,A Dementor's Kiss. One can only imagine what that must be like.,2025,2029
Snape,"It's said to be nearly unbearable to witness, but I'll do my best.",2029,2035
Remus,"Severus, please.",2035,2037
Snape,After you.,2038,2040
Harry,Expelliarmus!,2045,2046
Ron,Harry! What did you just do? ,2048,2050
Hermione ,You attacked a teacher!,2050,2052
Harry,Tell me about Peter. ,2052,2053
Remus,He was at school with us.,2053,2054
Remus,We thought he was our friend!,2055,2056
Harry,No. Pettigrew's dead. You killed him! ,2056,2058
Remus,"No, he didn't.",2058,2059
Remus,"I thought so too, until you mentioned Pettigrew on the map!",2060,2063
Harry,"The map was lying, then. ",2063,2065
Sirius,The map never lies!,2065,2066
Sirius,Pettigrew's alive! And he's right there!,2066,2070
Ron,Me?! He's mental! ,2070,2072
Sirius,Not you! Your rat!,2072,2075
Ron,Scabbers has been in my family for,2075,2077
Sirius,Twelve years?,2077,2078
Sirius,Curiously long life for a common garden rat!,2079,2081
Sirius,"He's missing a toe, isn't he? ",2081,2083
Ron,So what?,2083,2084
Harry,All they could find of Pettigrew was his,2084,2086
Sirius,Finger!,2086,2087
Sirius,Dirty coward cut it off so everyone would think he was dead!,2087,2090
Sirius,And then he transformed into a rat! ,2091,2093
Harry,Show me.,2093,2094
Harry,"Give it to him, Ron.",2096,2098
Ron,What are you trying to do to him?,2098,2099
Ron,Scabbers!,2099,2101
Ron,Leave him alone! Get off him! What are you doing?,2101,2104
Petter,Remus?,2106,2108
Petter,Sirius.,2109,2110
Petter,My old friends!,2111,2112
Petter,Harry! Look at you. You look so much like your father.,2118,2122
Petter,Like James. We were the best of friends,2122,2124
Sirius,How dare you speak to Harry!,2124,2126
Remus,How dare you talk about James in front of him!,2127,2129
Remus,"You sold James and Lily to Voldemort, didn't you! ",2129,2133
Petter,I didn't mean to!,2133,2135
Petter,The Dark Lord. You have no idea the weapons he possesses!,2135,2138
Petter,"Ask yourself, Sirius! What would you have done?",2138,2140
Petter,What would you have done? ,2141,2143
Sirius,"I would have died, rather than betray my friends!",2143,2146
Petter,"Harry, James wouldn't have wanted me killed!",2149,2151
Petter,Your dad would have spared me! He would have shown me mercy!,2151,2157
Remus,"Should have realized if Voldemort didn't kill you, we would. Together!",2157,2162
